# x, y, omega
# 
829.345968 487.978271 -0.031628
826.862350 491.588104 -0.031554
824.250369 495.017506 -0.031424
820.976390 497.395856 -0.031236
817.784223 500.367353 -0.030985
814.528778 503.085554 -0.030672
811.235626 505.548767 -0.030300
805.967469 507.875649 -0.029638
802.302279 509.677827 -0.029128
796.903433 511.847599 -0.028261
791.576790 513.341557 -0.027286
786.468893 514.225540 -0.026217
780.920961 513.560764 -0.025068
775.787117 513.246399 -0.023840
771.101702 512.444452 -0.022553
766.891684 511.232492 -0.021228
762.883360 507.931790 -0.019884
759.103905 506.273875 -0.018528
754.765289 503.651105 -0.016720
751.198791 500.680519 -0.014945
748.319640 497.450903 -0.013233
745.835494 493.085875 -0.011602
744.114941 488.883565 -0.010435
741.928655 485.462675 -0.008949
739.794143 481.087232 -0.007212
738.207092 476.662558 -0.005625
737.047987 472.229442 -0.004191
736.207981 467.809754 -0.002911
735.590819 463.412756 -0.001777
735.113125 459.040075 -0.000778
734.703666 454.689365 0.000099
734.302034 450.356870 0.000868
733.857049 446.039127 0.001545
733.325063 441.734048 0.002146
732.668276 437.441608 0.002688
732.010124 433.366568 0.003182
731.068726 429.342605 0.003639
730.126937 424.842471 0.004161
729.128942 420.527538 0.004653
728.051713 416.401167 0.005123
726.984838 412.112407 0.005587
726.710527 407.413291 0.005889
725.984050 403.309689 0.006398
724.550810 399.487009 0.006956
722.376354 395.899905 0.007547
719.396066 392.642065 0.008229
716.060659 390.164535 0.008940
713.286455 386.695447 0.009772
709.248828 384.913981 0.010832
704.756478 383.967963 0.011897
700.144349 383.779467 0.012952
696.015575 382.975081 0.014153
691.946002 383.999401 0.015248
687.496582 385.937497 0.016439
683.626964 388.061242 0.017471
679.464829 390.573678 0.018860
675.809189 393.922101 0.020031
672.952224 396.834487 0.020944
670.027233 400.127767 0.021888
667.439083 403.343966 0.022864
664.984203 407.551989 0.023859
662.592138 412.153336 0.024862
660.312486 417.165588 0.025870
658.733414 422.206692 0.026877
657.782472 427.807175 0.027867
657.212117 432.070780 0.028507
656.807885 436.451633 0.029127
656.585284 440.939498 0.029724
657.172155 447.270452 0.030568
657.769368 452.001416 0.031084
658.598887 456.743641 0.031556
659.666372 461.476167 0.031982
660.975011 466.177111 0.032358
663.048004 470.188360 0.032680
665.134593 474.797943 0.032937
667.459690 479.261747 0.033128
670.009820 483.555965 0.033248
672.768371 487.658575 0.033298
676.186598 490.855694 0.033275
679.598893 494.563073 0.033171
683.159096 497.981947 0.032986
686.836003 501.100639 0.032722
690.881437 503.140762 0.032379
694.992166 505.724556 0.031956
699.132392 507.955640 0.031453
703.265545 509.838769 0.030873
707.356836 511.383213 0.030222
711.596141 511.808128 0.029505
715.826959 511.905390 0.028724
719.896631 512.467848 0.027883
725.699178 512.750381 0.026522
731.078085 512.436798 0.025063
736.230040 510.104404 0.023531
741.079042 508.997659 0.021941
745.434018 507.496011 0.020309
749.289359 505.683618 0.018659
753.669616 502.913813 0.016467
756.552114 499.212775 0.014849
760.208710 496.248077 0.012740
763.207226 493.142189 0.010702
766.150926 489.190091 0.008289
768.353242 485.266533 0.006056
769.973246 481.441650 0.004020
771.353096 477.031990 0.001842
772.323310 472.839159 -0.000055
773.065707 468.862155 -0.001694
773.838044 464.481958 -0.003322
774.680767 460.368789 -0.004698
775.904248 455.994976 -0.006037
777.547809 451.998407 -0.007211
779.700617 448.446785 -0.008297
780.108415 444.429129 -0.009064
780.795058 440.300107 -0.010328
782.533216 436.076840 -0.011541
784.376600 432.405162 -0.012734
787.336683 429.614482 -0.013802
791.653372 429.651410 -0.015384
795.560193 431.024499 -0.017032
